Faculty,1,2,3,4,,,,,,,,,,,,,,,,
Faculty Male Female Number of Students Percentage of Students,,,,,,,,,,,,,,,,,,,,
Non-Technical Faculties,,,,,,,,,,,,,,,,,,,,
Buddhism,178,89,267,0.05,,,,,,,,,,,,,,,,
Education,"36,358","88,452","124,810",21.54,,,,,,,,,,,,,,,,
HSS,"28,530","32,528","61,058",10.54,,,,,,,,,,,,,,,,
Law,"12,495","7,208","19,703",3.4,,,,,,,,,,,,,,,,
Management,"111,545","145,801","257,346",44.41,,,,,,,,,,,,,,,,
Sanskrit,"1,683",342,"2,025",0.35,,,,,,,,,,,,,,,,
NonTech Total,"190,789","274,420","465,209",80.28,,,,,,,,,,,,,,,,
Technical Faculties,,,,,,,,,,,,,,,,,,,,
Agriculture,"2,662","2,446","5,108",0.88,,,,,,,,,,,,,,,,
AVF*,429,185,614,0.11,,,,,,,,,,,,,,,,
Ayurveda,254,238,492,0.08,,,,,,,,,,,,,,,,
Engineering,"23,986","6,230","30,216",5.21,,,,,,,,,,,,,,,,
Forestry,907,816,"1,723",0.3,,,,,,,,,,,,,,,,
Medicine,"12,142","17,989","30,131",5.2,,,,,,,,,,,,,,,,
S&T,"28,942","17,013","45,955",7.93,,,,,,,,,,,,,,,,
Tech Total,"69,322","44,917","114,239",19.72,,,,,,,,,,,,,,,,
Total,"260,111","319,337","579,448",100,,,,,,,,,,,,,,,,
