0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Aayurved Campus,Bagmati,Ayurveda,Bachelor,Bachlor of Ayurvedic  Medicine and  Surgery(BAMS),95,110,205,,,,,,,,,,,,,
Aayurved Campus,Bagmati,Ayurveda,Master,MD Ayurveda  Kayachikitsa,2,4,6,,,,,,,,,,,,,
Amrit Campus,Bagmati,S&T,Bachelor,4-YRS B.Sc,402,380,782,,,,,,,,,,,,,
Amrit Campus,Bagmati,S&T,Bachelor BIT,,8,26,34,,,,,,,,,,,,,
Amrit Campus,Bagmati,S&T,Bachelor BSc.CSIT,,88,641,729,,,,,,,,,,,,,
Amrit Campus,Bagmati,S&T,Master,Chemistry,48,71,119,,,,,,,,,,,,,
Amrit Campus,Bagmati,S&T,Master,Physics,6,131,137,,,,,,,,,,,,,
Amrit Campus,Bagmati,S&T,Master,Zoology,31,14,45,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,Education,Bachelor,4-YRS B.ED.,391,173,564,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,Education,Master,Curriculum And  Evaluation,20,12,32,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,Education,Master,English Education,37,14,51,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,Education,Master,Health Education,8,12,20,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,Education,Master,Nepali Education,12,35,47,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,HSS,Bachelor,4-YRS B.A.,30,28,58,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,HSS,Bachelor BCA,,7,32,39,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,HSS,Master,Sociology,44,53,97,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,Management Bachelor,,4-YRS B.B.S.,439,597,1036,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,,Management Bachelor BBA,,110,153,263,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,,Management Bachelor BBM,,64,64,128,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,,Management Bachelor BIM,,25,23,48,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,Management,Master,MBM,6,13,19,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,Management,Master,MBS,89,83,172,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,S&T,Bachelor,4-YRS B.Sc,67,132,199,,,,,,,,,,,,,
Bhairahawa Campus,Lumbini,S&T,Bachelor BSc.CSIT,,46,130,176,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,HSS,Bachelor,4-YRS B.A.,250,178,428,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,HSS,Bachelor BCA,,17,67,84,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,HSS,Master,Nepali,7,3,10,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,HSS,Master,Rural Development,98,61,159,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,HSS,Master,Sociology,129,74,203,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,Management Bachelor,,4-YRS B.B.S.,457,422,879,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,,Management Bachelor BBA,,280,157,437,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,,Management Bachelor BBM,,143,59,202,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,,Management Bachelor BIM,,240,169,409,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,Management,Master,MBS,205,131,336,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,S&T,Bachelor,4-YRS B.Sc,53,12,65,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,S&T,Bachelor BIT,,7,29,36,,,,,,,,,,,,,
Bhaktapur Multiple  Campus,Bagmati,S&T,Bachelor BSc.CSIT,,59,290,349,,,,,,,,,,,,,
Bhojpur Multiple Campus,Koshi,Education,Bachelor,4-YRS B.ED.,261,70,331,,,,,,,,,,,,,
Bhojpur Multiple Campus,Koshi,Education,Master,EPM,11,13,24,,,,,,,,,,,,,
Bhojpur Multiple Campus,Koshi,Education,Master,Nepali Education,9,12,21,,,,,,,,,,,,,
Bhojpur Multiple Campus,Koshi,HSS,Bachelor,4-YRS B.A.,32,15,47,,,,,,,,,,,,,
Bhojpur Multiple Campus,Koshi,Management Bachelor,,4-YRS B.B.S.,89,60,149,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,Education,Bachelor,4-YRS B.ED.,357,58,415,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,Education,Bachelor,ICTE,26,11,37,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,HSS,Bachelor,4-YRS B.A.,71,70,141,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,HSS,Bachelor BCA,,7,72,79,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,HSS,Master,Economics,24,96,120,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,HSS,Master,English,74,48,122,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,HSS,Master,Nepali,3,24,27,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,HSS,Master,Population Studies,18,5,23,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,HSS,Master,Sociology,103,173,276,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,Management Bachelor,,4-YRS B.B.S.,624,499,1123,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,,Management Bachelor BBA,,184,122,306,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,Management,Master,MBS,78,87,165,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,S&T,Bachelor,4-YRS B.Sc,687,319,1006,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,S&T,Bachelor BIT,,19,86,105,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,S&T,Bachelor BSc.CSIT,,66,335,401,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,S&T,Master,Chemistry,9,16,25,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,S&T,Master,Physics,2,23,25,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Bachelor,4-YRS B.ED.,1720,529,2249,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Bachelor,ICTE,70,33,103,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,EPM,17,19,36,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,English Education,31,104,135,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,Health Education,8,24,32,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,Health Education (Odl),5,1,6,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,Mathematics Education,40,8,48,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,Nepali Education,8,49,57,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,Nepali Education (Odl),5,10,15,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,HSS,Bachelor,4-YRS B.A.,287,218,505,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,HSS,Master,Economics,40,72,112,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,HSS,Master,English,86,31,117,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,HSS,Master,Nepali,16,7,23,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,HSS,Master,Sociology,77,101,178,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Law,Bachelor,Ll.B.,200,454,654,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Management Bachelor,,4-YRS B.B.S.,438,354,792,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,,Management Bachelor BBA,,136,57,193,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Management,Master,MBS,79,44,123,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,S&T,Bachelor,4-YRS B.Sc,460,463,923,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,S&T,Bachelor BSc.CSIT,,82,323,405,,,,,,,,,,,,,
