Table 3.6 : Ethnic/caste group highest in number by district.
Ethnic/Caste Group,Number of districts where the population size of the particular ethnic/caste group is highest,Name of the respective districts
Hill Brahmin,10,"Jhapa, Morang,Chitwan, Syanza, Kaski, Parbat, Gulmi, Rupendehi, Arghkhanchi and Kalikot"
Chhetri,21,"Okhaldhunga, Udaypur,Ramechap,Dolakha, Rukum, Salyan, Surkhet, Dailekh, Jajarkot, Jumla, Mugu, Humla, Dolpa, Bajura, Bajhyang, Acham, Doti, Kanchanpur, Dadeldhura, Biatadi and Darchula"
Newar,3,"Kathmandu, Lalitpur and Bhaktapur"
Limbu,3,"Taplejung, Panchthar and Terathum"
Rai,6,"Ilam, Dhankuta, Sankhuwasabha, Bhojpur, Solukhumbu and Khotang"
Gurung,4,"Gorkha, Lamjung Manang and Mustang"
Magar,7,"Tanahu, Myagdi, Baglung, Palpa, Nawalparasi, Pyuthan and Rolpa"
Tamang,7,"Sindhuli, Nuwakot, Rasuwa, Dhading, Makwanpur, Sindhupalchok and Kavrepalanchok"
Tharu,4,"Sunsari, Dang, Bardia and Kailali"
Yadav,5,"Saptari, Siraha, Dhanusa,Mahottari and Sarlahi"
Musalman,5,"Rautahat, Bara,Parsa, Kapilbastu and Banke"


Annex 3.4 : Population by caste/ethnic groups and religion.
Caste/ethnic Group,TOTAL,P O P U L A T I O N F O L L O W I N G R E L I G I O N,,,,,,,,
,,HINDU,BOUDDHA,ISLAM,KIRATI,JAIN,CHRISTIAN,SHIKHA,BAHAI,OTHERS
TOTAL,22736934,183301212,2442520,954023,818106,4108,101976,5890,1211,78979
CHHETRI,3593496,3574976,9389,0,771,92,5435,130,158,2545
BHAHMAN-HILL,2896477,2887317,3758,0,566,61,2436,159,83,2097
MAGAR,1622421,1210276,397036,0,2789,58,8314,253,31,3664
THARU,1533879,1497516,29893,0,241,65,3332,250,287,2295
TAMANG,1282304,98593,1157461,0,1000,101,24235,139,14,761
NEWAR,1245232,1047561,190629,0,828,90,5007,150,68,899
MUSLIM,971056,21265,101,949473,11,0,172,5,0,29
KAMI,895954,866296,19844,0,1302,21,6747,112,12,1620
YADAV,895423,893427,1250,0,44,19,116,64,46,457
RAI,635151,158803,10670,0,450288,52,13069,277,17,1975
GURUNG,543571,156263,375252,0,588,199,3575,646,13,7035
DAMAI/DHOLI,390305,381739,4914,0,626,4,2483,55,3,481
LIMBU,359379,40675,2948,0,310108,47,4228,73,157,1143
THAKURI,334120,332107,1185,0,100,53,501,27,40,107
SARKI,318989,312277,2668,0,469,8,3229,44,7,287
TELI,304536,302056,4148,0,38,5,84,3,12,190
CHAMAR HARIJAN/RAM,269661,266568,2898,0,6,15,42,42,9,81
KOIRI,251274,250705,231,0,32,21,36,21,18,210
KURMI,212842,212493,148,0,51,6,35,48,7,54
SANYASI,199127,197554,707,0,177,0,326,22,2,339
DHANUK,188150,187680,308,0,9,1,10,7,6,129
MUSAHAR,172434,169884,1462,0,28,1,61,28,3,967
DUSADH/PASW AN/PASI,158525,157682,549,0,5,3,47,7,4,228
SHERPA,154622,9683,143528,0,305,5,968,77,6,50
SONAR,145088,142482,1059,0,299,3,1107,24,29,85
KEWAT,136953,136371,117,0,14,3,11,7,3,427
BRAHMAN- TARAI,134496,133932,311,0,49,14,100,18,9,63
BANIYA,126971,126108,260,0,25,50,41,199,6,282
GHARTI/BHUJEL,117568,113458,2799,0,675,0,555,5,1,75
MALLAH,115986,114980,655,0,93,2,101,14,2,139
KALWAR,115606,115252,221,0,53,2,50,6,5,17
KUMAL,99389,97818,1038,0,58,0,269,10,0,196
HAJAM/THAKUR,98169,97768,233,0,31,4,32,8,2,91
KANU,95826,95718,48,0,3,1,10,0,3,43
RAJBANSI,95812,81580,95,0,118,11,247,490,8,13263


P O P U L A T I O N F O L L O W I N G R E L I G I O N
Caste/ethnic Group,TOTAL,P O P U L A T I O N F O L L O W I N G R E L I G I O N,,,,,,,,
,,HINDU,BOUDDHA,ISLAM,KIRATI,JAIN,CHRISTIAN,SHIKHA,BAHAI,OTHERS
SUNUWAR,95254,75726,970,0,16553,5,1816,64,4,116
SUDHI,89846,89554,79,0,54,31,30,3,4,91
LOHAR,82637,82454,58,0,2,3,38,0,1,81
TATMA,76512,76351,125,0,5,1,5,0,3,22
KHATWE,74972,74561,189,0,146,1,3,1,1,70
DHOBI,73413,73011,286,0,11,10,43,8,5,39
MAHJI,72614,59302,928,0,655,5,186,209,2,11327
NUNIYA,66873,66433,37,0,10,5,6,1,3,378
KUMHAR,54413,53972,237,0,34,4,40,4,34,88
DANUWAR,53229,52833,141,0,75,0,108,1,3,68
CHEPANG (PRAJA),52237,36685,9796,0,100,2,4589,66,4,995
HALUWAI,50583,50268,233,0,14,0,4,0,3,61
RAJPUT,48454,48126,123,0,7,2,65,0,4,127
KAYASTHA,46071,45556,314,0,24,6,64,9,22,76
BADHAE,45975,45756,69,0,3,0,43,10,3,91
MARWADI,43971,41718,143,0,20,1977,34,24,3,52
SANTHAL/SATTAR,42698,35463,156,0,243,1,2466,144,4,4221
JHAGAR/DHAGAR,R1764,38752,2128,0,5,3,384,16,1,475
BANTAR,35839,35069,607,0,42,1,2,0,1,117
BARAE,35434,35398,23,0,0,1,3,0,4,5
KAHAR,34531,34491,35,0,1,0,0,4,0,0
GANGAI,31318,30830,357,0,2,3,2,3,1,120
LODHA,24738,24693,35,0,0,6,0,1,0,3
RAJBHAR,24263,24119,83,0,3,0,15,22,1,20
THAMI,22999,12819,2854,0,3357,0,106,5,0,3858
DHIMAL,19537,11216,270,0,1494,3,176,598,3,5777
BHOTE,19261,7300,11665,0,116,0,177,1,0,2
BING/BINDA,18720,18697,3,0,2,0,0,0,1,17
BHEDIYAR/GADERI,17729,17675,1,0,0,0,5,2,2,44
NURANG,17522,17267,216,0,4,5,1,7,4,18
YAKKHA,17003,2410,176,0,13846,3,538,11,1,18
DARAI,14859,14546,210,0,8,0,50,1,0,44
TAJPURIYA,13250,8500,39,0,10,5,46,166,1,4483
